"V1" "V2"
"38" "Pseudomonas_veronii_R02_5004" "NZ_CP008871"
"39" "Pseudomonas_veronii_R02_5004" "NZ_CP008864"
"40" "Pseudomonas_veronii_R02_5004" "NZ_CP008872"
"41" "Pseudomonas_veronii_R02_5004" "NC_023066"
"42" "Pseudomonas_veronii_R02_5004" "NC_011770"
"43" "Pseudomonas_veronii_R02_5004" "NC_017548"
"44" "Pseudomonas_veronii_R02_5004" "NC_023019"
"45" "Pseudomonas_veronii_R02_5004" "NZ_CP014948"
"46" "Pseudomonas_veronii_R02_5004" "NZ_AP014622"
"47" "Pseudomonas_veronii_R02_5004" "NZ_AP014646"
"48" "Pseudomonas_veronii_R02_5004" "NC_017549"
"49" "Pseudomonas_veronii_R02_5004" "NZ_AP014651"
"50" "Pseudomonas_veronii_R02_5004" "NZ_LN831024"
"51" "Pseudomonas_veronii_R02_5004" "NZ_CP013479"
"52" "Pseudomonas_veronii_R02_5004" "NZ_CP014866"
"53" "Pseudomonas_veronii_R02_5004" "NZ_CP012585"
"54" "Pseudomonas_veronii_R02_5004" "NZ_CP012581"
"55" "Pseudomonas_veronii_R02_5004" "NZ_CP012578"
"56" "Pseudomonas_veronii_R02_5004" "NZ_CP012582"
"57" "Pseudomonas_veronii_R02_5004" "NZ_CP012583"
"58" "Pseudomonas_veronii_R02_5004" "NZ_CP012584"
"59" "Pseudomonas_veronii_R02_5004" "NZ_CP012579"
"60" "Pseudomonas_veronii_R02_5004" "NZ_CP012580"
"61" "Pseudomonas_veronii_R02_5004" "NC_022808"
"62" "Pseudomonas_veronii_R02_5004" "NZ_CP015001"
"63" "Pseudomonas_veronii_R02_5004" "NZ_CP015003"
"64" "Pseudomonas_veronii_R02_5004" "NZ_CP016214"
"65" "Pseudomonas_veronii_R02_5004" "NC_022806"
"66" "Pseudomonas_veronii_R02_5004" "NZ_CP012679"
"67" "Pseudomonas_veronii_R02_5004" "NC_009656"
"68" "Pseudomonas_veronii_R02_5004" "NZ_CP014999"
"69" "Pseudomonas_veronii_R02_5004" "NZ_CP015002"
"70" "Pseudomonas_veronii_R02_5004" "NZ_AAQW01000001"
"71" "Pseudomonas_veronii_R02_5004" "NZ_CP013113"
"72" "Pseudomonas_veronii_R02_5004" "NC_002516"
"73" "Pseudomonas_veronii_R02_5004" "NZ_LN871187"
"74" "Pseudomonas_veronii_R02_5004" "NC_021577"
"75" "Pseudomonas_veronii_R02_5004" "NC_023149"
"76" "Pseudomonas_veronii_R02_5004" "NZ_CP013477"
"77" "Pseudomonas_veronii_R02_5004" "NZ_CP013478"
"78" "Pseudomonas_veronii_R02_5004" "NC_008463"
"79" "Pseudomonas_veronii_R02_5004" "NZ_CP013989"
"80" "Pseudomonas_veronii_R02_5004" "NZ_CP013245"
"81" "Pseudomonas_veronii_R02_5004" "NZ_CP008739"
"82" "Pseudomonas_veronii_R02_5004" "NZ_CP007147"
"83" "Pseudomonas_veronii_R02_5004" "NZ_CP014784"
"84" "Pseudomonas_veronii_R02_5004" "NZ_CP016162"
"85" "Pseudomonas_veronii_R02_5004" "NZ_CP009048"
"86" "Pseudomonas_veronii_R02_5004" "NZ_CP020351"
"87" "Pseudomonas_veronii_R02_5004" "NZ_CP015600"
"88" "Pseudomonas_veronii_R02_5004" "NZ_CP019856"
"89" "Pseudomonas_veronii_R02_5004" "NZ_CP014546"
"90" "Pseudomonas_veronii_R02_5004" "NZ_CP007511"
"91" "Pseudomonas_veronii_R02_5004" "NZ_CP007410"
"92" "Pseudomonas_veronii_R02_5004" "NZ_CP014693"
"93" "Pseudomonas_veronii_R02_5004" "NZ_CP012680"
"94" "Pseudomonas_veronii_R02_5004" "NC_015379"
"95" "Pseudomonas_veronii_R02_5004" "NZ_LT222319"
"96" "Pseudomonas_veronii_R02_5004" "NZ_CP014867"
"97" "Pseudomonas_veronii_R02_5004" "NZ_CP009290"
"98" "Pseudomonas_veronii_R02_5004" "NZ_CP008696"
"99" "Pseudomonas_veronii_R02_5004" "NZ_CP011110"
"100" "Pseudomonas_veronii_R02_5004" "NZ_CP011020"
"101" "Pseudomonas_veronii_R02_5004" "NZ_CP007039"
"102" "Pseudomonas_veronii_R02_5004" "NZ_CP014158"
"103" "Pseudomonas_veronii_R02_5004" "NZ_CP015878"
"104" "Pseudomonas_veronii_R02_5004" "NZ_CP014262"
"105" "Pseudomonas_veronii_R02_5004" "NZ_CP009455"
"106" "Pseudomonas_veronii_R02_5004" "NC_020829"
"107" "Pseudomonas_veronii_R02_5004" "NC_008027"
"108" "Pseudomonas_veronii_R02_5004" "NC_017911"
"109" "Pseudomonas_veronii_R02_5004" "NC_016830"
"110" "Pseudomonas_veronii_R02_5004" "NZ_CP012831"
"111" "Pseudomonas_veronii_R02_5004" "NZ_CP012830"
"112" "Pseudomonas_veronii_R02_5004" "NZ_CP015638"
"113" "Pseudomonas_veronii_R02_5004" "NZ_CP015639"
"114" "Pseudomonas_veronii_R02_5004" "NZ_CP015637"
"115" "Pseudomonas_veronii_R02_5004" "NZ_CP011117"
"116" "Pseudomonas_veronii_R02_5004" "NZ_CP012400"
"117" "Pseudomonas_veronii_R02_5004" "NZ_CP010945"
"118" "Pseudomonas_veronii_R02_5004" "NZ_CP010896"
"119" "Pseudomonas_veronii_R02_5004" "NC_007492"
"120" "Pseudomonas_veronii_R02_5004" "NZ_CP005975"
"121" "Pseudomonas_veronii_R02_5004" "NZ_CP017296"
"122" "Pseudomonas_veronii_R02_5004" "NC_012660"
"123" "Pseudomonas_veronii_R02_5004" "NZ_CP008896"
"124" "Pseudomonas_veronii_R02_5004" "NZ_CP013861"
"125" "Pseudomonas_veronii_R02_5004" "NZ_CP018319"
"126" "Pseudomonas_veronii_R02_5004" "NZ_CP017886"
"127" "Pseudomonas_veronii_R02_5004" "NC_015556"
"128" "Pseudomonas_veronii_R02_5004" "NZ_HG322950"
"129" "Pseudomonas_veronii_R02_5004" "NZ_CP015852"
"130" "Pseudomonas_veronii_R02_5004" "NZ_CP014947"
"131" "Pseudomonas_veronii_R02_5004" "NZ_CP005960"
"132" "Pseudomonas_veronii_R02_5004" "NC_015410"
"133" "Pseudomonas_veronii_R02_5004" "NC_009439"
"134" "Pseudomonas_veronii_R02_5004" "NC_023075"
"135" "Pseudomonas_veronii_R02_5004" "NC_023076"
"136" "Pseudomonas_veronii_R02_5004" "NZ_CP013997"
"137" "Pseudomonas_veronii_R02_5004" "NZ_CP009365"
"138" "Pseudomonas_veronii_R02_5004" "NZ_CP013987"
"139" "Pseudomonas_veronii_R02_5004" "NZ_CP009747"
"140" "Pseudomonas_veronii_R02_5004" "NZ_CP019952"
"141" "Pseudomonas_veronii_R02_5004" "NZ_CP010359"
"142" "Pseudomonas_veronii_R02_5004" "NC_020209"
"143" "Pseudomonas_veronii_R02_5004" "NC_021237"
"144" "Pseudomonas_veronii_R02_5004" "NZ_CP013184"
"145" "Pseudomonas_veronii_R02_5004" "NC_004129"
"146" "Pseudomonas_veronii_R02_5004" "NZ_LK391695"
"147" "Pseudomonas_veronii_R02_5004" "NZ_CP018758"
"148" "Pseudomonas_veronii_R02_5004" "NZ_CP014343"
"149" "Pseudomonas_veronii_R02_5004" "NZ_CP018846"
"150" "Pseudomonas_veronii_R02_5004" "NC_017530"
"151" "Pseudomonas_veronii_R02_5004" "NZ_CP007620"
"152" "Pseudomonas_veronii_R02_5004" "NC_009512"
"153" "Pseudomonas_veronii_R02_5004" "NC_010322"
"154" "Pseudomonas_veronii_R02_5004" "NC_021491"
"155" "Pseudomonas_veronii_R02_5004" "NC_019905"
"156" "Pseudomonas_veronii_R02_5004" "NZ_CP016212"
"157" "Pseudomonas_veronii_R02_5004" "NC_002947"
"158" "Pseudomonas_veronii_R02_5004" "NC_021505"
"159" "Pseudomonas_veronii_R02_5004" "NC_017986"
"160" "Pseudomonas_veronii_R02_5004" "NZ_CP011789"
"161" "Pseudomonas_veronii_R02_5004" "NZ_CP017073"
"162" "Pseudomonas_veronii_R02_5004" "NZ_CP009974"
"163" "Pseudomonas_veronii_R02_5004" "NZ_CP010979"
"164" "Pseudomonas_veronii_R02_5004" "NC_015733"
"165" "Pseudomonas_veronii_R02_5004" "NC_010501"
"166" "Pseudomonas_veronii_R02_5004" "NC_021499"
"167" "Pseudomonas_veronii_R02_5004" "NZ_CP009533"
"168" "Pseudomonas_veronii_R02_5004" "NC_005773"
"169" "Pseudomonas_veronii_R02_5004" "NZ_CCSF01000001"
"170" "Pseudomonas_veronii_R02_5004" "NZ_CP014870"
"171" "Pseudomonas_veronii_R02_5004" "NZ_LN847264"
"172" "Pseudomonas_veronii_R02_5004" "NZ_CP011566"
"173" "Pseudomonas_veronii_R02_5004" "NZ_CP007012"
"174" "Pseudomonas_veronii_R02_5004" "NZ_CP011567"
"175" "Pseudomonas_veronii_R02_5004" "NZ_CP011525"
"176" "Pseudomonas_veronii_R02_5004" "NZ_CP012676"
"177" "Pseudomonas_veronii_R02_5004" "NZ_CP010892"
"178" "Pseudomonas_veronii_R02_5004" "NZ_CP014205"
"179" "Pseudomonas_veronii_R02_5004" "NZ_AP014627"
"180" "Pseudomonas_veronii_R02_5004" "NZ_AP014628"
"181" "Pseudomonas_veronii_R02_5004" "NZ_AP014637"
"182" "Pseudomonas_veronii_R02_5004" "NZ_CP015992"
"183" "Pseudomonas_veronii_R02_5004" "NC_023064"
"184" "Pseudomonas_veronii_R02_5004" "NZ_LN854573"
"185" "Pseudomonas_veronii_R02_5004" "NZ_LN865164"
"186" "Pseudomonas_veronii_R02_5004" "NC_019670"
"187" "Pseudomonas_veronii_R02_5004" "NC_022738"
"188" "Pseudomonas_veronii_R02_5004" "NZ_CP019947"
"189" "Pseudomonas_veronii_R02_5004" "NZ_CP017290"
"190" "Pseudomonas_veronii_R02_5004" "NZ_CP020100"
"191" "Pseudomonas_veronii_R02_5004" "NZ_CP007509"
"192" "Pseudomonas_veronii_R02_5004" "NZ_CP015641"
"193" "Pseudomonas_veronii_R02_5004" "NZ_CP007441"
"194" "Pseudomonas_veronii_R02_5004" "NC_009434"
"195" "Pseudomonas_veronii_R02_5004" "NC_015740"
"196" "Pseudomonas_veronii_R02_5004" "NC_018028"
"197" "Pseudomonas_veronii_R02_5004" "NC_018177"
"198" "Pseudomonas_veronii_R02_5004" "NC_017532"
"199" "Pseudomonas_veronii_R02_5004" "NC_019936"
"200" "Pseudomonas_veronii_R02_5004" "NZ_CP011854"
"201" "Pseudomonas_veronii_R02_5004" "NZ_CP013183"
"202" "Pseudomonas_veronii_R02_5004" "NZ_CP005969"
"203" "Pseudomonas_veronii_R02_5004" "NC_007005"
"204" "Pseudomonas_veronii_R02_5004" "NZ_CP007014"
"205" "Pseudomonas_veronii_R02_5004" "NC_004578"
"206" "Pseudomonas_veronii_R02_5004" "NZ_CP006256"
"207" "Pseudomonas_veronii_R02_5004" "NZ_CP011972"
"208" "Pseudomonas_veronii_R02_5004" "NZ_CP019730"
"209" "Pseudomonas_veronii_R02_5004" "NZ_CP019732"
"210" "Pseudomonas_veronii_R02_5004" "NZ_CP018202"
"211" "Pseudomonas_veronii_R02_5004" "NZ_CP017007"
"212" "Pseudomonas_veronii_R02_5004" "NZ_CP017009"
"213" "Pseudomonas_veronii_R02_5004" "NZ_CP005970"
"214" "Pseudomonas_veronii_R02_5004" "NZ_CP011507"
"215" "Pseudomonas_veronii_R02_5004" "NZ_CP018420"
